date,region,B.1.1.7,Other
2020-12-26,Midlands,43.1631017236317,46.7400111021112
2020-12-26,North East and Yorkshire,24.0567741880798,45.4503925849281
2020-12-26,North West,4.72831347664984,8.64473175580519
2020-12-26,South East,153.701474686225,25.4069513462798
2020-12-26,South West,1.12316068875109,1.28730689567174
2020-12-27,East of England,55.9409237265646,3.8258152493753
2020-12-27,London,86.098116461751,9.62546622581633
2020-12-27,Midlands,113.695482692795,71.7918410237866
2020-12-27,North East and Yorkshire,18.6965111092692,27.9404406103612
2020-12-27,North West,75.1998460732564,70.6555563767882
2020-12-27,South East,54.1648725049236,5.96581009874177
2020-12-27,South West,32.1724990870455,17.7934485497943
2020-12-28,East of England,96.2469169734632,15.1428076433342
2020-12-28,London,104.870993370172,12.7082501765623
2020-12-28,Midlands,23.0108447938818,9.60795525232654
2020-12-28,North East and Yorkshire,0.252315597132114,0.475166708414919
2020-12-28,North West,44.1256243768279,46.9891707903152
2020-12-28,South East,73.088619899464,11.4329382004454
2020-12-28,South West,0.892522620063685,0
2020-12-29,East of England,182.984061278078,19.9689350158959
2020-12-29,London,365.848342504753,30.6547231733876
2020-12-29,Midlands,96.4849384742788,45.2482128947429
2020-12-29,North East and Yorkshire,87.5299363501912,83.6474479693627
2020-12-29,North West,19.0923229902107,19.6380465777551
2020-12-29,South East,190.182412635633,29.7265105664578
2020-12-29,South West,4.72840212677841,1.99345121490788
2020-12-30,East of England,46.9097586125223,2.15497161043089
2020-12-30,London,156.800084585988,18.7256931268403
2020-12-30,Midlands,14.1806279501036,6.25692858664662
2020-12-30,North East and Yorkshire,23.0469348857171,35.6616332097238
2020-12-30,North West,39.9672913558991,23.3192014516816
2020-12-30,South East,85.0823981208659,5.57592844028309
2020-12-30,South West,11.6311236706178,14.0894547687592
2020-12-31,East of England,41.338390316116,3.80826501167337
2020-12-31,London,335.08414781853,16.9002412223318
2020-12-31,Midlands,19.6359711715134,13.1804317408975
2020-12-31,North East and Yorkshire,11.5033021125627,14.2291991226067
2020-12-31,North West,6.29087916676599,5.62501687601471
2020-12-31,South East,128.55239230003,10.7689453181315
2020-12-31,South West,27.6252253942123,18.359169617086
2021-01-01,East of England,85.0375651454144,10.3122235272968
2021-01-01,London,116.469959226824,5.99210692281129
2021-01-01,Midlands,55.038147977043,27.2742323569405
2021-01-01,North East and Yorkshire,2.34531003215738,2.34531003215738
2021-01-01,North West,15.9185551796216,8.46522860954267
2021-01-01,South East,73.6779647616318,17.8032411359991
2021-01-01,South West,3.75359877084332,3.75359877084332
2021-01-02,East of England,199.731994601243,9.70529551177441
2021-01-02,London,535.733375598005,37.7075506318556
2021-01-02,Midlands,121.471763473605,37.6763699718512
2021-01-02,North East and Yorkshire,8.09066795575044,7.72357328365307
2021-01-02,North West,48.1568606288079,41.7745827530932
2021-01-02,South East,425.714913540587,32.4339746634847
2021-01-02,South West,41.4141353729158,22.6459091874397
2021-01-03,East of England,143.525318000237,16.8243400270901
2021-01-03,London,317.160450738981,34.5212075575158
2021-01-03,Midlands,146.684391013808,51.2728640322968
2021-01-03,North East and Yorkshire,44.1498695940004,23.8809269523484
2021-01-03,North West,117.523127674882,103.3170796999
2021-01-03,South East,132.947133227142,7.46882240352779
2021-01-03,South West,86.1373973007047,30.4319977979838
2021-01-04,East of England,149.323739124241,19.8086442062466
2021-01-04,London,78.8990544040369,4.19104614132185
2021-01-04,Midlands,214.583280803595,70.2772713010371
2021-01-04,North East and Yorkshire,57.760502032993,32.3496606021616
2021-01-04,North West,86.1464841254213,55.9771900582552
2021-01-04,South East,91.8671727563756,9.98620478625174
2021-01-04,South West,33.700977228734,1.53504149083571
2021-01-05,East of England,31.4391341041809,0
2021-01-05,London,64.6999461731193,7.14744333317855
2021-01-05,Midlands,227.981830004308,62.5951480877737
2021-01-05,North East and Yorkshire,93.115125325654,62.8708124024679
2021-01-05,North West,64.1684431151648,30.8983923987619
2021-01-05,South East,91.2628666458325,3.7247452938787
2021-01-05,South West,44.2251350505572,24.2991357608659
2021-01-06,East of England,10.8324767671504,0
2021-01-06,London,42.8155109689884,1.68830686842683
2021-01-06,Midlands,67.5880745177894,14.2308635922522
2021-01-06,North East and Yorkshire,15.009388075962,8.16422581140896
2021-01-06,North West,60.206164966533,37.3539863886906
2021-01-06,South East,58.4414550710745,7.32686570813927
2021-01-06,South West,26.0338359813042,3.43979696686443
2021-01-07,East of England,134.968433384464,6.87937780091611
2021-01-07,London,158.825717507635,14.4434535631928
2021-01-07,Midlands,98.9924068090122,25.7334247716881
2021-01-07,North East and Yorkshire,42.3493672192589,13.068324313061
2021-01-07,North West,1.34637437649329,0
2021-01-07,South East,204.808581535756,16.10791390646
2021-01-07,South West,15.9927714204909,9.15068510626526
2021-01-08,East of England,82.9014660199092,12.5009670060509
2021-01-08,London,127.47405153093,8.31040113270712
2021-01-08,Midlands,181.835249479195,92.4958486294282
2021-01-08,North East and Yorkshire,18.6071866556797,6.30617396173162
2021-01-08,North West,32.1261409324599,15.3111875641111
2021-01-08,South East,232.979790168506,13.0084481175775
2021-01-08,South West,110.487408320651,15.2303419755428
2021-01-09,East of England,203.309504539269,12.4645463767376
2021-01-09,London,295.299123689985,9.67956095085357
2021-01-09,Midlands,81.2497157110936,13.5507880083966
2021-01-09,North East and Yorkshire,109.29925537811,40.7583904630539
2021-01-09,North West,247.543630055187,102.520914774108
2021-01-09,South East,244.042106099547,15.1975050656085
2021-01-09,South West,11.3869632725817,5.10792260116464
2021-01-10,East of England,103.171020108568,4.68229437971734
2021-01-10,London,107.973585256433,1.27952640346844
2021-01-10,Midlands,218.596997510428,37.6437007416639
2021-01-10,North East and Yorkshire,24.6973075026583,10.6558786572488
2021-01-10,North West,182.12126918809,71.282382734534
2021-01-10,South East,77.0921334415247,16.9210569926213
2021-01-10,South West,19.1739801045493,1.51349041790786
2021-01-11,East of England,149.225348295392,16.9431402779627
2021-01-11,London,181.310041487918,9.77620604233756
2021-01-11,Midlands,279.712635668301,53.863808207433
2021-01-11,North East and Yorkshire,28.2679113208021,10.3131277073572
2021-01-11,North West,255.231682551092,67.6964222731912
2021-01-11,South East,139.487755131467,3.79959915336769
2021-01-11,South West,71.7610655595597,11.1731608955339
2021-01-12,East of England,161.449121115936,24.618824867695
2021-01-12,London,148.129109568208,4.3934393507254
2021-01-12,Midlands,277.100914777001,62.920889502623
2021-01-12,North East and Yorkshire,108.128768983868,57.7882325397931
2021-01-12,North West,273.963700170671,101.441190088277
2021-01-12,South East,255.334371277718,24.3148388727789
2021-01-12,South West,166.032706405583,34.8272037343699
2021-01-13,East of England,8.05734465071556,1.03848919782796
2021-01-13,London,29.3269893975438,3.15064484950952
2021-01-13,Midlands,62.6230066839018,12.889271596736
2021-01-13,North East and Yorkshire,92.7365637269141,53.4455559157153
2021-01-13,North West,281.926525228193,69.2485873356949
2021-01-13,South East,33.1895180890939,1.83290071367667
2021-01-13,South West,126.92619823753,38.3333561865207
2021-01-14,East of England,88.5143402699103,5.03385389861997
2021-01-14,London,193.701068434839,0.726393529570213
2021-01-14,Midlands,128.339403115841,20.3342437829183
2021-01-14,North East and Yorkshire,129.969922952608,45.4619213171263
2021-01-14,North West,329.846410057453,91.0919320731758
2021-01-14,South East,107.667226707389,6.84034951485409
2021-01-14,South West,42.7999251125611,11.5708963152498
2021-01-15,East of England,159.041752124043,12.0899030719486
2021-01-15,London,141.997058860822,11.3006851194308
2021-01-15,Midlands,109.111717456245,25.0569549739792
2021-01-15,North East and Yorkshire,142.778040508459,46.8342097785309
2021-01-15,North West,249.200889554622,70.9706761599796
2021-01-15,South East,77.5746210310074,0
2021-01-15,South West,139.734481837618,28.9570608868813
2021-01-16,East of England,102.40697770017,6.54413680121064
2021-01-16,London,201.611451383801,6.59095107493404
2021-01-16,Midlands,47.198180758163,14.7823081593954
2021-01-16,North East and Yorkshire,62.7005527199808,26.799788345861
2021-01-16,North West,100.531879273762,28.4023043034509
2021-01-16,South East,70.7270125936335,6.70499167174745
2021-01-16,South West,57.4354788452121,13.7424997925474
2021-01-17,East of England,140.206313774985,0.807684241862467
2021-01-17,London,149.666908539863,9.07791600766734
2021-01-17,Midlands,100.961976139987,11.1473687755317
2021-01-17,North East and Yorkshire,66.5660685299832,23.62725856034
2021-01-17,North West,251.016907827125,52.078371078233
2021-01-17,South East,112.894249908068,6.56442821686712
2021-01-17,South West,32.2024802393141,5.55962737926404
2021-01-18,East of England,215.537038431463,17.4956156542632
2021-01-18,London,213.297852845657,5.89698670100469
2021-01-18,Midlands,154.883216151295,21.7577348260442
2021-01-18,North East and Yorkshire,32.1781116544174,17.8743426433682
2021-01-18,North West,125.258911786188,25.5603636961222
2021-01-18,South East,108.520132009602,3.51033926007225
2021-01-18,South West,56.4151083595496,2.49628225809026
2021-01-19,East of England,108.555194543096,4.58192689351542
2021-01-19,London,287.999877805672,12.7903997648442
2021-01-19,Midlands,174.894713963792,26.0687060154318
2021-01-19,North East and Yorkshire,39.6240993199571,1.30770273840399
2021-01-19,North West,133.347765401603,21.0467736931038
2021-01-19,South East,105.437412529826,4.01877194781585
2021-01-19,South West,13.5821714046921,1.72414429346026
2021-01-20,East of England,157.658250326475,12.0950854170905
2021-01-20,London,118.440898854519,5.32976392596084
2021-01-20,Midlands,161.683384132845,18.2935305203015
2021-01-20,North East and Yorkshire,59.1679085953667,11.1911791237358
2021-01-20,North West,43.5706209108518,11.7378642451129
2021-01-20,South East,108.09033817568,3.22532049000793
2021-01-20,South West,23.4541622782275,2.48614216865182
2021-01-21,East of England,99.4091215427748,11.2914491847122
2021-01-21,London,134.51257760657,4.34881304521036
2021-01-21,Midlands,250.817945502517,26.0430077762609
2021-01-21,North East and Yorkshire,142.862845548595,28.8908060503165
2021-01-21,North West,27.2593505891283,7.0116407975886
2021-01-21,South East,69.8607329256888,3.74346643298981
2021-01-21,South West,7.98981045790967,0
2021-01-22,East of England,112.282828245913,5.22232419467687
2021-01-22,London,195.70806605861,5.32805674242512
2021-01-22,Midlands,404.319028283388,41.3525333040673
2021-01-22,North East and Yorkshire,117.449442933024,20.0223144264975
2021-01-22,North West,156.639882194803,20.9198915813282
2021-01-22,South East,267.04782917907,18.4081514483474
2021-01-22,South West,42.3658455922843,3.04941372422275
